word,part_of_speech,phonetic,definition,example,synonyms,antonyms,usage_notes,audio_url,image_url,level
ease,noun,iːz,摆脱经济困境，享受安逸生活；奢华与闲适并存；他拥有世间一切物质享受。,,easiness;simplicity;simpleness;comfort;relief;informality;rest;repose;relaxation,difficulty,affluence | comfort | naturalness | inactivity | lap of luxury | reprieve | bedrest;laziness;leisure;lie-in;quiescence | hypernyms:quality;affluence;comfort;naturalness;inactivity | hyponyms:effortlessness;lap of luxury;reprieve;bedrest;laziness;leisure;lie-in;quiescence,,,托福雅思词汇
elite,noun,/ɪˈliːt/,享有优越智力、社会或经济地位的群体或阶层,,elite group,,hypernyms:upper class | hyponyms:chosen;cream;few;intelligentsia;nobility;society,,,托福雅思词汇
epitome,noun,/ɪˈpɪtəmi/,摘要（如文章或书籍的概要）,,prototype;paradigm;image,,outline | hypernyms:model;outline | hyponyms:concentrate;imago,,,托福雅思词汇
equivalent,noun,ɪˈkwɪvələnt,与另一元素给定重量具有相同化合能力的元素的原子量；以氧为基准，其标准值为8。,,equivalent weight;combining weight;eq,,atomic mass | hypernyms:cognition;atomic mass | hyponyms:counterpart;substitute,,,托福雅思词汇
equivalent,noun,ɪˈkwɪvələnt,与另一人在价值、度量、力量、效果或重要性等方面相当的人或物；寄两美元或等值的邮票。,,equivalent weight;combining weight;eq,,atomic mass | hypernyms:cognition;atomic mass | hyponyms:counterpart;substitute,,,托福雅思词汇
estimate,noun,/ˈɛstɪmeɪt/,对某物或某人品质的判断；评估人生涉及诸多因素；依我之见，这男孩是无辜的。,,estimation;approximation;idea;appraisal,,judgment | commercial document | statement | respect | appraisal;capitalization | overestimate | reputation | hypernyms:calculation;judgment;commercial document;statement;respect | hyponyms:credit rating;guess;guesstimate;overestimate;scalage;underestimate;appraisal;capitalization;reputation,,,托福雅思词汇
estimate,noun,/ˈɛstɪmeɪt/,对数量、程度或价值的近似计算；对所需成本的预估；对所需时间的粗略估计。,,estimation;approximation;idea;appraisal,,judgment | commercial document | statement | respect | appraisal;capitalization | overestimate | reputation | hypernyms:calculation;judgment;commercial document;statement;respect | hyponyms:credit rating;guess;guesstimate;overestimate;scalage;underestimate;appraisal;capitalization;reputation,,,托福雅思词汇
estimate,noun,/ˈɛstɪmeɪt/,人们对他的能力评价很高。,,estimation;approximation;idea;appraisal,,judgment | commercial document | statement | respect | appraisal;capitalization | overestimate | reputation | hypernyms:calculation;judgment;commercial document;statement;respect | hyponyms:credit rating;guess;guesstimate;overestimate;scalage;underestimate;appraisal;capitalization;reputation,,,托福雅思词汇
estimate,noun,/ˈɛstɪmeɪt/,一份关于某项工作可能花费的声明；他从汽车修理店获得了一份估价单。,,estimation;approximation;idea;appraisal,,judgment | commercial document | statement | respect | appraisal;capitalization | overestimate | reputation | hypernyms:calculation;judgment;commercial document;statement;respect | hyponyms:credit rating;guess;guesstimate;overestimate;scalage;underestimate;appraisal;capitalization;reputation,,,托福雅思词汇
evidence,noun,/ˈɛvɪdəns/,信念或怀疑的依据；基于信仰的知识；吸烟导致肺癌的证据非常有说服力。,,grounds,,indication | information | argument;attestation;clue;footprint evidence;identification;record;smoking gun;testimony | circumstantial evidence;corpus delicti;corroborating evidence;direct evidence;exhibit;hearsay evidence;state's evidence;testimony | hypernyms:information;indication | hyponyms:disproof;lead;probable cause;proof;sign;symptom;argument;attestation;clue;footprint evidence;identification;record;smoking gun;testimony;circumstantial evidence;corpus delicti;corroborating evidence;direct evidence;exhibit;hearsay evidence;state's evidence,,,托福雅思词汇
evidence,noun,/ˈɛvɪdəns/,他颤抖的迹象表明了他的恐惧。,,grounds,,indication | information | argument;attestation;clue;footprint evidence;identification;record;smoking gun;testimony | circumstantial evidence;corpus delicti;corroborating evidence;direct evidence;exhibit;hearsay evidence;state's evidence;testimony | hypernyms:information;indication | hyponyms:disproof;lead;probable cause;proof;sign;symptom;argument;attestation;clue;footprint evidence;identification;record;smoking gun;testimony;circumstantial evidence;corpus delicti;corroborating evidence;direct evidence;exhibit;hearsay evidence;state's evidence,,,托福雅思词汇
evidence,noun,/ˈɛvɪdəns/,（法律）指在司法审判中用以确立或反驳任何被指控事实真相的所有方法。,,grounds,,indication | information | argument;attestation;clue;footprint evidence;identification;record;smoking gun;testimony | circumstantial evidence;corpus delicti;corroborating evidence;direct evidence;exhibit;hearsay evidence;state's evidence;testimony | hypernyms:information;indication | hyponyms:disproof;lead;probable cause;proof;sign;symptom;argument;attestation;clue;footprint evidence;identification;record;smoking gun;testimony;circumstantial evidence;corpus delicti;corroborating evidence;direct evidence;exhibit;hearsay evidence;state's evidence,,,托福雅思词汇
exclusive,noun,ɪkˈskluːsɪv,独家报道：某新闻机构率先揭露市政官员受贿丑闻。,,scoop,,hypernyms:report,,,托福雅思词汇
expose,noun,/ɪkˈspəʊz/,揭露骗子或欺诈行为；他发表了一篇揭露市政府贪污腐败的文章。,,unmasking,,hypernyms:exposure,,,托福雅思词汇
extension,noun,ɪkˈstɛnʃən,扩大范围；普及化；将计划扩展至所有需要者,,propagation;extension service;university extension;filename extension;file name extension;reference;denotation;lengthiness;prolongation;telephone extension;extension phone;elongation;annex;annexe;wing,flexion,expansion | dissemination | education | stretching | string | meaning | dance;property | longness | telephone | addition | hyperextension | coextension | ell | hypernyms:delay;expansion;dissemination;education;stretching;string;meaning;dance;property;longness;telephone;addition | hyponyms:spread;stretch;hyperextension;coextension;ell,,,托福雅思词汇
extension,noun,ɪkˈstɛnʃən,伸展或伸直弯曲肢体的动作,,propagation;extension service;university extension;filename extension;file name extension;reference;denotation;lengthiness;prolongation;telephone extension;extension phone;elongation;annex;annexe;wing,flexion,expansion | dissemination | education | stretching | string | meaning | dance;property | longness | telephone | addition | hyperextension | coextension | ell | hypernyms:delay;expansion;dissemination;education;stretching;string;meaning;dance;property;longness;telephone;addition | hyponyms:spread;stretch;hyperextension;coextension;ell,,,托福雅思词汇
extension,noun,ɪkˈstɛnʃən,高校为非在校生提供的教育机会,,propagation;extension service;university extension;filename extension;file name extension;reference;denotation;lengthiness;prolongation;telephone extension;extension phone;elongation;annex;annexe;wing,flexion,expansion | dissemination | education | stretching | string | meaning | dance;property | longness | telephone | addition | hyperextension | coextension | ell | hypernyms:delay;expansion;dissemination;education;stretching;string;meaning;dance;property;longness;telephone;addition | hyponyms:spread;stretch;hyperextension;coextension;ell,,,托福雅思词汇
extension,noun,ɪkˈstɛnʃən,连接至同一电话线的附加电话机,,propagation;extension service;university extension;filename extension;file name extension;reference;denotation;lengthiness;prolongation;telephone extension;extension phone;elongation;annex;annexe;wing,flexion,expansion | dissemination | education | stretching | string | meaning | dance;property | longness | telephone | addition | hyperextension | coextension | ell | hypernyms:delay;expansion;dissemination;education;stretching;string;meaning;dance;property;longness;telephone;addition | hyponyms:spread;stretch;hyperextension;coextension;ell,,,托福雅思词汇
extension,noun,ɪkˈstɛnʃən,延伸的长度或范围；该电线的延伸长度为50英尺。,,propagation;extension service;university extension;filename extension;file name extension;reference;denotation;lengthiness;prolongation;telephone extension;extension phone;elongation;annex;annexe;wing,flexion,expansion | dissemination | education | stretching | string | meaning | dance;property | longness | telephone | addition | hyperextension | coextension | ell | hypernyms:delay;expansion;dissemination;education;stretching;string;meaning;dance;property;longness;telephone;addition | hyponyms:spread;stretch;hyperextension;coextension;ell,,,托福雅思词汇
extension,noun,ɪkˈstɛnʃən,将工作腿高高抬起的能力；舞者因其非凡的伸展度而受到赞扬；良好的伸展度源于训练与天赋的结合。,,propagation;extension service;university extension;filename extension;file name extension;reference;denotation;lengthiness;prolongation;telephone extension;extension phone;elongation;annex;annexe;wing,flexion,expansion | dissemination | education | stretching | string | meaning | dance;property | longness | telephone | addition | hyperextension | coextension | ell | hypernyms:delay;expansion;dissemination;education;stretching;string;meaning;dance;property;longness;telephone;addition | hyponyms:spread;stretch;hyperextension;coextension;ell,,,托福雅思词汇
extension,noun,ɪkˈstɛnʃən,以点开头，后跟一个或多个字母的字符串；PC电脑文件名的可选第二部分；大多数应用程序为其创建的文件提供扩展名；大多数BASIC文件使用扩展名.BAS。,,propagation;extension service;university extension;filename extension;file name extension;reference;denotation;lengthiness;prolongation;telephone extension;extension phone;elongation;annex;annexe;wing,flexion,expansion | dissemination | education | stretching | string | meaning | dance;property | longness | telephone | addition | hyperextension | coextension | ell | hypernyms:delay;expansion;dissemination;education;stretching;string;meaning;dance;property;longness;telephone;addition | hyponyms:spread;stretch;hyperextension;coextension;ell,,,托福雅思词汇
extension,noun,ɪkˈstɛnʃən,双方同意延长工作完成或债务偿还的期限；他们申请了贷款延期。,,propagation;extension service;university extension;filename extension;file name extension;reference;denotation;lengthiness;prolongation;telephone extension;extension phone;elongation;annex;annexe;wing,flexion,expansion | dissemination | education | stretching | string | meaning | dance;property | longness | telephone | addition | hyperextension | coextension | ell | hypernyms:delay;expansion;dissemination;education;stretching;string;meaning;dance;property;longness;telephone;addition | hyponyms:spread;stretch;hyperextension;coextension;ell,,,托福雅思词汇
fabric,noun,/ˈfæb.rɪk/,织物是由天然或合成纤维通过编织、毡合、针织或钩编制成的物品；窗帘的布料轻薄且半透明；机织布约在公元前5000年起源于美索不达米亚；她量出了足够做一件连衣裙的布料。,,cloth;material;textile;framework,,structure | hypernyms:artifact;structure | hyponyms:aba;acrylic;aertex;alpaca;baize;basket weave;batik;batiste;belting;bombazine;boucle;broadcloth;brocade;buckram;bunting;calico;cambric;camel's hair;camlet;camouflage;canopy;canvas;cashmere;cerecloth;challis;chambray;chenille;chiffon;chino;chintz;coating;cobweb;cord;cotton;cotton flannel;crepe;cretonne;crinoline;damask;denim;diamante;diaper;dimity;doeskin;drapery;duck;duffel;elastic;etamine;faille;felt;fiber;flannel;flannelette;fleece;foulard;frieze;fustian;gabardine;georgette;gingham;grogram;grosgrain;haircloth;herringbone;homespun;hopsacking;horsehair;jaconet;jacquard;khadi;khaki;knit;lace;lame;leatherette;linen;linsey-woolsey;lint;lisle;mackinaw;mackintosh;madras;marseille;metallic;mohair;moire;moleskin;monk's cloth;moquette;moreen;motley;mousseline de sole;muslin;nankeen;net;ninon;nylon;oilcloth;olive drab;organza;paisley;panting;pepper-and-salt;percale;permanent press;piece of cloth;pilot cloth;pina cloth;pinstripe;pique;plush;polyester;pongee;poplin;print;quilting;rayon;rep;sackcloth;sacking;sailcloth;samite;sateen;satin;satinet;screening;scrim;seersucker;serge;shag;shantung;sharkskin;sheeting;shirting;shirttail;silesia;silk;spandex;sponge cloth;stammel;suede cloth;suiting;swan's down;taffeta;tammy;tapa;tapestry;tartan;terry;ticking;toweling;tweed;twill;upholstery material;velcro;velour;velvet;velveteen;vicuna;viyella;voile;wash-and-wear;waterproof;web;webbing;whipcord;wincey;wire cloth;wool;worsted;yoke,,,托福雅思词汇
famine,noun,/ˈfæmɪn/,粮食严重短缺（如因作物歉收）导致剧烈饥饿、饥荒和死亡。,,dearth;shortage,,calamity | hypernyms:lack;calamity | hyponyms:the irish famine,,,托福雅思词汇
fine,noun,faɪn,罚款,,mulct;amercement,,hypernyms:penalty | hyponyms:library fine,,,托福雅思词汇
flaw,noun,/flɔː/,缺陷,,defect;fault,,failing | imperfection | tragic flaw | hypernyms:imperfection;failing | hyponyms:blister;bug;hole;tragic flaw,,,托福雅思词汇
flaw,noun,/flɔː/,他虽有缺点，但仍不失为伟人。,,defect;fault,,failing | imperfection | tragic flaw | hypernyms:imperfection;failing | hyponyms:blister;bug;hole;tragic flaw,,,托福雅思词汇
focus,noun,/ˈfəʊkəs/,图像清晰度或光学系统成像的鲜明度；聚焦；失焦,,focusing;focussing;focal point;direction;centering;nidus;stress,,distinctness | clarity | point | emphasis | hypernyms:concentration;distinctness;clarity;point;emphasis | hyponyms:particularism,,,托福雅思词汇
focus,noun,/ˈfəʊkəs/,观点的最大清晰度或明确性；这场争议清晰地突显了意见上的重要分歧。,,focusing;focussing;focal point;direction;centering;nidus;stress,,distinctness | clarity | point | emphasis | hypernyms:concentration;distinctness;clarity;point;emphasis | hyponyms:particularism,,,托福雅思词汇
focus,noun,/ˈfəʊkəs/,注意力或精力集中于某物；活动焦点转向分子生物学；他生活中缺乏方向。,,focusing;focussing;focal point;direction;centering;nidus;stress,,distinctness | clarity | point | emphasis | hypernyms:concentration;distinctness;clarity;point;emphasis | hyponyms:particularism,,,托福雅思词汇
focus,noun,/ˈfəʊkəs/,圆锥曲线凹侧的固定参考点,,focusing;focussing;focal point;direction;centering;nidus;stress,,distinctness | clarity | point | emphasis | hypernyms:concentration;distinctness;clarity;point;emphasis | hyponyms:particularism,,,托福雅思词汇
focus,noun,/ˈfəʊkəs/,光（或其他辐射）的汇聚点或发散点,,focusing;focussing;focal point;direction;centering;nidus;stress,,distinctness | clarity | point | emphasis | hypernyms:concentration;distinctness;clarity;point;emphasis | hyponyms:particularism,,,托福雅思词汇
focus,noun,/ˈfəʊkəs/,感染灶,,focusing;focussing;focal point;direction;centering;nidus;stress,,distinctness | clarity | point | emphasis | hypernyms:concentration;distinctness;clarity;point;emphasis | hyponyms:particularism,,,托福雅思词汇
folklore,noun,/ˈfəʊk.lɔː/,口传文化（故事、谚语、谜语与歌谣）,,,,hypernyms:lore,,,托福雅思词汇
forestry,noun,/ˈfɒrɪstri/,造林与育林科学及木材生长管理,,,,hypernyms:biology | hyponyms:silviculture;undercut,,,托福雅思词汇
framework,noun,/ˈfreɪmwɜːk/,支撑或容纳某物的结构,,model;theoretical account;fabric,,structure | supporting structure | airframe;arbor;bustle;casing;climbing frame;clotheshorse;coaming;cornice;deckle;derrick;doorframe;fender;frame;frame;gantry;grate;grill;gun carriage;handbarrow;hayrack;honeycomb;lattice;mounting;oxbow;picture frame;rack;ribbing;sash;sawhorse;stocks;stocks;stretcher;tambour;tenter;truss;undercarriage;walker;walker;wattle;window;window frame | hypernyms:hypothesis;structure;supporting structure | hyponyms:copernican system;m-theory;mean sun;ptolemaic system;simulation;stochastic process;string theory;airframe;arbor;bustle;casing;climbing frame;clotheshorse;coaming;cornice;deckle;derrick;doorframe;fender;frame;gantry;grate;grill;gun carriage;handbarrow;hayrack;honeycomb;lattice;mounting;oxbow;picture frame;rack;ribbing;sash;sawhorse;stocks;stretcher;tambour;tenter;truss;undercarriage;walker;wattle;window;window frame,,,托福雅思词汇
framework,noun,/ˈfreɪmwɜːk/,基础结构；为未来研究提供事实框架；它是社会结构的一部分。,,model;theoretical account;fabric,,structure | supporting structure | airframe;arbor;bustle;casing;climbing frame;clotheshorse;coaming;cornice;deckle;derrick;doorframe;fender;frame;frame;gantry;grate;grill;gun carriage;handbarrow;hayrack;honeycomb;lattice;mounting;oxbow;picture frame;rack;ribbing;sash;sawhorse;stocks;stocks;stretcher;tambour;tenter;truss;undercarriage;walker;walker;wattle;window;window frame | hypernyms:hypothesis;structure;supporting structure | hyponyms:copernican system;m-theory;mean sun;ptolemaic system;simulation;stochastic process;string theory;airframe;arbor;bustle;casing;climbing frame;clotheshorse;coaming;cornice;deckle;derrick;doorframe;fender;frame;gantry;grate;grill;gun carriage;handbarrow;hayrack;honeycomb;lattice;mounting;oxbow;picture frame;rack;ribbing;sash;sawhorse;stocks;stretcher;tambour;tenter;truss;undercarriage;walker;wattle;window;window frame,,,托福雅思词汇
function,noun,/ˈfʌŋkʃən/,指派给或要求或期望个人或团体执行的行为与活动；教师的职责；政府必须履行其职责；发挥其作用。,,mathematical function;single-valued function;map;mapping;purpose;role;use;office;part;affair;occasion;social occasion;social function;routine;subroutine;subprogram;procedure,,utility | duty | relation | social gathering | social event | software | raison d'etre | capacity;hat;portfolio;second fiddle;stead | celebration;ceremony;fundraiser;party;photo opportunity;sleepover | cataloged procedure;contingency procedure;library routine;random number generator;recursive routine;reusable routine;supervisory routine;tracing routine;utility routine | hypernyms:mathematical relation;utility;duty;relation;social gathering;social event;software | hyponyms:expansion;exponential;inverse function;isometry;kronecker delta;metric function;operator;polynomial;threshold function;transformation;trigonometric function;raison d'etre;capacity;hat;portfolio;second fiddle;stead;celebration;ceremony;fundraiser;party;photo opportunity;sleepover;cataloged procedure;contingency procedure;library routine;random number generator;recursive routine;reusable routine;supervisory routine;tracing routine;utility routine,,,托福雅思词汇
function,noun,/ˈfʌŋkʃən/,用途；螺旋钻的功能是钻孔；芭蕾虽美，但有何实际用途？,,mathematical function;single-valued function;map;mapping;purpose;role;use;office;part;affair;occasion;social occasion;social function;routine;subroutine;subprogram;procedure,,utility | duty | relation | social gathering | social event | software | raison d'etre | capacity;hat;portfolio;second fiddle;stead | celebration;ceremony;fundraiser;party;photo opportunity;sleepover | cataloged procedure;contingency procedure;library routine;random number generator;recursive routine;reusable routine;supervisory routine;tracing routine;utility routine | hypernyms:mathematical relation;utility;duty;relation;social gathering;social event;software | hyponyms:expansion;exponential;inverse function;isometry;kronecker delta;metric function;operator;polynomial;threshold function;transformation;trigonometric function;raison d'etre;capacity;hat;portfolio;second fiddle;stead;celebration;ceremony;fundraiser;party;photo opportunity;sleepover;cataloged procedure;contingency procedure;library routine;random number generator;recursive routine;reusable routine;supervisory routine;tracing routine;utility routine,,,托福雅思词汇
function,noun,/ˈfʌŋkʃən/,一场正式的社交聚会或典礼；这是一场需着正装出席的活动。,,mathematical function;single-valued function;map;mapping;purpose;role;use;office;part;affair;occasion;social occasion;social function;routine;subroutine;subprogram;procedure,,utility | duty | relation | social gathering | social event | software | raison d'etre | capacity;hat;portfolio;second fiddle;stead | celebration;ceremony;fundraiser;party;photo opportunity;sleepover | cataloged procedure;contingency procedure;library routine;random number generator;recursive routine;reusable routine;supervisory routine;tracing routine;utility routine | hypernyms:mathematical relation;utility;duty;relation;social gathering;social event;software | hyponyms:expansion;exponential;inverse function;isometry;kronecker delta;metric function;operator;polynomial;threshold function;transformation;trigonometric function;raison d'etre;capacity;hat;portfolio;second fiddle;stead;celebration;ceremony;fundraiser;party;photo opportunity;sleepover;cataloged procedure;contingency procedure;library routine;random number generator;recursive routine;reusable routine;supervisory routine;tracing routine;utility routine,,,托福雅思词汇
function,noun,/ˈfʌŋkʃən/,一种关系，其中一事物依赖于另一事物；身高是年龄的函数；价格是供求的函数。,,mathematical function;single-valued function;map;mapping;purpose;role;use;office;part;affair;occasion;social occasion;social function;routine;subroutine;subprogram;procedure,,utility | duty | relation | social gathering | social event | software | raison d'etre | capacity;hat;portfolio;second fiddle;stead | celebration;ceremony;fundraiser;party;photo opportunity;sleepover | cataloged procedure;contingency procedure;library routine;random number generator;recursive routine;reusable routine;supervisory routine;tracing routine;utility routine | hypernyms:mathematical relation;utility;duty;relation;social gathering;social event;software | hyponyms:expansion;exponential;inverse function;isometry;kronecker delta;metric function;operator;polynomial;threshold function;transformation;trigonometric function;raison d'etre;capacity;hat;portfolio;second fiddle;stead;celebration;ceremony;fundraiser;party;photo opportunity;sleepover;cataloged procedure;contingency procedure;library routine;random number generator;recursive routine;reusable routine;supervisory routine;tracing routine;utility routine,,,托福雅思词汇
function,noun,/ˈfʌŋkʃən/,函数是一种数学关系，使得给定集合（定义域）中的每个元素都与另一个集合（值域）中的一个元素相关联。,,mathematical function;single-valued function;map;mapping;purpose;role;use;office;part;affair;occasion;social occasion;social function;routine;subroutine;subprogram;procedure,,utility | duty | relation | social gathering | social event | software | raison d'etre | capacity;hat;portfolio;second fiddle;stead | celebration;ceremony;fundraiser;party;photo opportunity;sleepover | cataloged procedure;contingency procedure;library routine;random number generator;recursive routine;reusable routine;supervisory routine;tracing routine;utility routine | hypernyms:mathematical relation;utility;duty;relation;social gathering;social event;software | hyponyms:expansion;exponential;inverse function;isometry;kronecker delta;metric function;operator;polynomial;threshold function;transformation;trigonometric function;raison d'etre;capacity;hat;portfolio;second fiddle;stead;celebration;ceremony;fundraiser;party;photo opportunity;sleepover;cataloged procedure;contingency procedure;library routine;random number generator;recursive routine;reusable routine;supervisory routine;tracing routine;utility routine,,,托福雅思词汇
fundamental,noun,/fʌndəˈmɛnt(ə)l/,谐波序列的最低音,,fundamental frequency;first harmonic,,harmonic | hypernyms:factor;harmonic,,,托福雅思词汇
fundamental,noun,/fʌndəˈmɛnt(ə)l/,任何可能对理解特定业务至关重要的因素；基本面包括公司的增长、收入、收益、管理和资本结构。,,fundamental frequency;first harmonic,,harmonic | hypernyms:factor;harmonic,,,托福雅思词汇
gap,noun,ɡæp,他微微推开窗户，露出一条缝隙。,,spread;opening;crack;col;break;interruption;disruption,,space | opening | pass | dispute | delay | lacuna;spark gap | water gap;wind gap | generation gap | breaking off;cut-in;cut-in;heckling;interjection | hypernyms:disparity;space;opening;pass;dispute;delay | hyponyms:breach;chasm;crack;diastema;foramen;hole;mouth;pocket;ranvier's nodes;rift;rip;window;lacuna;spark gap;water gap;wind gap;generation gap;breaking off;cut-in;heckling;interjection,,,托福雅思词汇
gap,noun,ɡæp,显著差异；收支差距；借贷成本利差,,spread;opening;crack;col;break;interruption;disruption,,space | opening | pass | dispute | delay | lacuna;spark gap | water gap;wind gap | generation gap | breaking off;cut-in;cut-in;heckling;interjection | hypernyms:disparity;space;opening;pass;dispute;delay | hyponyms:breach;chasm;crack;diastema;foramen;hole;mouth;pocket;ranvier's nodes;rift;rip;window;lacuna;spark gap;water gap;wind gap;generation gap;breaking off;cut-in;heckling;interjection,,,托福雅思词汇
gap,noun,ɡæp,差异（尤指两种意见、两种观点或两种情况之间的不幸差异）,,spread;opening;crack;col;break;interruption;disruption,,space | opening | pass | dispute | delay | lacuna;spark gap | water gap;wind gap | generation gap | breaking off;cut-in;cut-in;heckling;interjection | hypernyms:disparity;space;opening;pass;dispute;delay | hyponyms:breach;chasm;crack;diastema;foramen;hole;mouth;pocket;ranvier's nodes;rift;rip;window;lacuna;spark gap;water gap;wind gap;generation gap;breaking off;cut-in;heckling;interjection,,,托福雅思词汇
grievance,noun,/ˈɡriːvəns/,对（真实或虚构的）不公行为的申诉，引发不满并构成行动依据。,,grudge;score,,allegation | complaint | hypernyms:resentment;allegation;complaint,,,托福雅思词汇
grievance,noun,/ˈɡriːvəns/,指控某事项施加非法义务、剥夺合法权利或导致不公,,grudge;score,,allegation | complaint | hypernyms:resentment;allegation;complaint,,,托福雅思词汇
heritage,noun,/ˈhɛrɪtɪdʒ/,传统沿袭的习俗；自由的传承。,,inheritance,,attribute | transferred property | acquisition | accretion;bequest;birthright;borough english;devise;heirloom;primogeniture | hypernyms:practice;attribute;transferred property;acquisition | hyponyms:background;birthright;upbringing;accretion;bequest;borough english;devise;heirloom;primogeniture,,,托福雅思词汇
hierarchy,noun,/haɪərɑːki/,行政机构中的层级人员组织,,power structure;pecking order,,organization | hypernyms:series;organization | hyponyms:celestial hierarchy;data hierarchy;taxonomy,,,托福雅思词汇
hierarchy,noun,/haɪərɑːki/,在一个系统中，一系列有序的人群或事物分组；在她的价值观体系中，将诚实置于首位。,,power structure;pecking order,,organization | hypernyms:series;organization | hyponyms:celestial hierarchy;data hierarchy;taxonomy,,,托福雅思词汇
hindrance,noun,/ˈhɪndrəns/,阻碍或妨碍的行为,,hinderance;deterrent;impediment;balk;baulk;check;handicap;hitch;preventive;preventative;encumbrance;incumbrance;interference,,obstruction | act | clog;speed bump | antagonism;complication;deterrence;frustration;obstruction;prevention | hypernyms:difficulty;obstruction;act | hyponyms:albatross;bind;diriment impediment;drag;obstacle;straitjacket;clog;speed bump;antagonism;complication;deterrence;frustration;obstruction;prevention,,,托福雅思词汇
hindrance,noun,/ˈhɪndrəns/,任何阻碍或造成负担的障碍,,hinderance;deterrent;impediment;balk;baulk;check;handicap;hitch;preventive;preventative;encumbrance;incumbrance;interference,,obstruction | act | clog;speed bump | antagonism;complication;deterrence;frustration;obstruction;prevention | hypernyms:difficulty;obstruction;act | hyponyms:albatross;bind;diriment impediment;drag;obstacle;straitjacket;clog;speed bump;antagonism;complication;deterrence;frustration;obstruction;prevention,,,托福雅思词汇
hindrance,noun,/ˈhɪndrəns/,妨碍或延缓行动或进展的无形障碍,,hinderance;deterrent;impediment;balk;baulk;check;handicap;hitch;preventive;preventative;encumbrance;incumbrance;interference,,obstruction | act | clog;speed bump | antagonism;complication;deterrence;frustration;obstruction;prevention | hypernyms:difficulty;obstruction;act | hyponyms:albatross;bind;diriment impediment;drag;obstacle;straitjacket;clog;speed bump;antagonism;complication;deterrence;frustration;obstruction;prevention,,,托福雅思词汇
hollow,noun,/ˈhɒləʊ/,群山之间的小山谷；他在阿巴拉契亚山脉高处的一个洼地里为自己建了一间小屋。,,holler;hole,,valley | natural depression | burrow;gopher hole;kettle hole;pit;pothole;rabbit burrow;wormhole | hypernyms:cavity;valley;natural depression | hyponyms:dell;burrow;gopher hole;kettle hole;pit;pothole;rabbit burrow;wormhole,,,托福雅思词汇
hollow,noun,/ˈhɒləʊ/,凹陷或空隙；饥饿使他们脸颊凹陷。,,holler;hole,,valley | natural depression | burrow;gopher hole;kettle hole;pit;pothole;rabbit burrow;wormhole | hypernyms:cavity;valley;natural depression | hyponyms:dell;burrow;gopher hole;kettle hole;pit;pothole;rabbit burrow;wormhole,,,托福雅思词汇
horror,noun,/ˈhɒrə/,令人恐惧之物；可怕之事；那幅在他人眼中美不胜收的画作，于他而言却是恐怖之源。,,repugnance;repulsion;revulsion,,thing | disgust | hypernyms:fear;thing;disgust,,,托福雅思词汇
horror,noun,/ˈhɒrə/,强烈而深切的恐惧,,repugnance;repulsion;revulsion,,thing | disgust | hypernyms:fear;thing;disgust,,,托福雅思词汇
hostile,noun,/ˈhɒstaɪl/,敌军部队；该排遭遇了一群敌对分子。,,,friendly,hypernyms:military personnel,,,托福雅思词汇
hypothesis,noun,/haɪˈpɒθəsɪs/,对自然界的一种初步洞见；一种尚未验证但若成立便能解释某些事实或现象的概念；经实验验证的科学假说会成为科学理论；他提出的新碱理论后来被化学实践所采纳。,,possibility;theory;guess;conjecture;supposition;surmise;surmisal;speculation,,concept | opinion | divination | hypernyms:proposal;concept;opinion | hyponyms:assumption;gemmule;historicism;hypothetical;model;speculation;divination,,,托福雅思词汇
hypothesis,noun,/haɪˈpɒθəsɪs/,旨在解释某些事实或观察的提案,,possibility;theory;guess;conjecture;supposition;surmise;surmisal;speculation,,concept | opinion | divination | hypernyms:proposal;concept;opinion | hyponyms:assumption;gemmule;historicism;hypothetical;model;speculation;divination,,,托福雅思词汇
illiterate,noun,/ɪˈlɪtərət/,文盲,,illiterate person;nonreader,,hypernyms:ignoramus | hyponyms:analphabet;functional illiterate,,,托福雅思词汇
impact,noun,/ˈɪmpækt/,一物撞击另一物,,wallop;impingement;encroachment;shock,,consequence | influence | fight | hypernyms:contact;consequence;influence;fight | hyponyms:blow;slam,,,托福雅思词汇
impact,noun,/ˈɪmpækt/,强有力的后果；强烈的影响；这本书对我的思想产生了重要影响；这本书极具冲击力。,,wallop;impingement;encroachment;shock,,consequence | influence | fight | hypernyms:contact;consequence;influence;fight | hyponyms:blow;slam,,,托福雅思词汇
impairment,noun,/ɪmˈpɛəmənt/,导致强度或质量下降的损害,,damage;harm;deterioration;disability;disablement;handicap;stultification;constipation;deadening,,decay | unfitness | damage | degradation | corrosion;decrepitude;devastation;wear | amputation;anorgasmia;astasia;bow leg;bowleg;disability of walking;disintegration;dysomia;dysphasia;hearing impairment;hypoesthesia;knock-knee;pigeon toes;prolapse;visual impairment | hypernyms:change;decay;unfitness;damage;degradation | hyponyms:detriment;distortion;run;corrosion;decrepitude;devastation;wear;amputation;anorgasmia;astasia;bow leg;bowleg;disability of walking;disintegration;dysomia;dysphasia;hearing impairment;hypoesthesia;knock-knee;pigeon toes;prolapse;visual impairment,,,托福雅思词汇
