word,part_of_speech,phonetic,definition,example,synonyms,antonyms,usage_notes,audio_url,image_url,level
complement,noun,/ˈkɒmplɪmənt/,完美补充或点缀之物；美酒是晚餐的绝佳搭配；野生米饭作为主菜的配菜。,,full complement;accompaniment,,count | work force | adjunct | enzyme | counterpart | hypernyms:construction;count;work force;adjunct;enzyme;counterpart | hyponyms:ship's company,,,六级词汇
complement,noun,/ˈkɒmplɪmənt/,相互补充的两个部分之一,,full complement;accompaniment,,count | work force | adjunct | enzyme | counterpart | hypernyms:construction;count;work force;adjunct;enzyme;counterpart | hyponyms:ship's company,,,六级词汇
complement,noun,/ˈkɒmplɪmənt/,用于完成语法结构的词或短语,,full complement;accompaniment,,count | work force | adjunct | enzyme | counterpart | hypernyms:construction;count;work force;adjunct;enzyme;counterpart | hyponyms:ship's company,,,六级词汇
complement,noun,/ˈkɒmplɪmənt/,所需人员数量；满员编制,,full complement;accompaniment,,count | work force | adjunct | enzyme | counterpart | hypernyms:construction;count;work force;adjunct;enzyme;counterpart | hyponyms:ship's company,,,六级词汇
complement,noun,/ˈkɒmplɪmənt/,完整的数目或数量；全套,,full complement;accompaniment,,count | work force | adjunct | enzyme | counterpart | hypernyms:construction;count;work force;adjunct;enzyme;counterpart | hyponyms:ship's company,,,六级词汇
complement,noun,/ˈkɒmplɪmənt/,血清中一系列参与免疫反应的酶之一,,full complement;accompaniment,,count | work force | adjunct | enzyme | counterpart | hypernyms:construction;count;work force;adjunct;enzyme;counterpart | hyponyms:ship's company,,,六级词汇
complexion,noun,/kəmˈplɛkʃən/,（旧时观念）一种由元素（干燥与温暖或四种体液）组合而成的理论，曾被认为决定人的健康与性情。,,skin color;skin colour,,combination | point of view | appearance | nature | hypernyms:color;combination;point of view;appearance;nature | hyponyms:darkness;lividness;paleness;ruddiness;sallowness;tawniness;whiteness,,,六级词汇
complexion,noun,/kəmˈplɛkʃən/,面部皮肤质地与外观,,skin color;skin colour,,combination | point of view | appearance | nature | hypernyms:color;combination;point of view;appearance;nature | hyponyms:darkness;lividness;paleness;ruddiness;sallowness;tawniness;whiteness,,,六级词汇
complexion,noun,/kəmˈplɛkʃən/,人的面色,,skin color;skin colour,,combination | point of view | appearance | nature | hypernyms:color;combination;point of view;appearance;nature | hyponyms:darkness;lividness;paleness;ruddiness;sallowness;tawniness;whiteness,,,六级词汇
complexion,noun,/kəmˈplɛkʃən/,一种观点或普遍态度或倾向；他改变了他那个时代的政治面貌；一种自由主义的政治倾向。,,skin color;skin colour,,combination | point of view | appearance | nature | hypernyms:color;combination;point of view;appearance;nature | hyponyms:darkness;lividness;paleness;ruddiness;sallowness;tawniness;whiteness,,,六级词汇
complexion,noun,/kəmˈplɛkʃən/,由耦合或相互连接产生的组合；双元音是元音的复合形式。,,skin color;skin colour,,combination | point of view | appearance | nature | hypernyms:color;combination;point of view;appearance;nature | hyponyms:darkness;lividness;paleness;ruddiness;sallowness;tawniness;whiteness,,,六级词汇
compliment,noun,/ˈkɒmplɪmənt/,表示赞扬和钦佩的言辞（或行为）,,,,hypernyms:praise | hyponyms:flattery;trade-last;unction,,,六级词汇
composite,noun,/ˈkɒmpəzɪt/,被视为最高度进化的双子叶植物，其特点在于小花密集排列成头状花序，形似单朵花。,,complex;composite plant,,flower | compass plant;corn chamomile;crownbeard;dusty miller;everlasting;mayweed;oxeye daisy;pyrenees daisy;shasta daisy;tansy;yellow chamomile | hypernyms:whole;flower | hyponyms:hybrid;syndrome;compass plant;corn chamomile;crownbeard;dusty miller;everlasting;mayweed;oxeye daisy;pyrenees daisy;shasta daisy;tansy;yellow chamomile,,,六级词汇
compress,noun,/kəmˈprɛs/,敷布（一种敷于身体某部位（以缓解不适或退烧）的布垫或敷料，可含药或不含药）。,,,,hypernyms:dressing,,,六级词汇
conceit,noun,/kənˈsiːt/,过分虚荣与自负；虚妄的骄傲,,amour propre;self-love;vanity;conceitedness,humility,trope | turn of phrase | device | trait | hypernyms:pride;trope;turn of phrase;device;trait | hyponyms:boastfulness;egotism;posturing;self-love,,,六级词汇
conceit,noun,/kənˈsiːt/,一种艺术手法或效果；建筑师巧妙的设计是将房子围绕树木而建。,,amour propre;self-love;vanity;conceitedness,humility,trope | turn of phrase | device | trait | hypernyms:pride;trope;turn of phrase;device;trait | hyponyms:boastfulness;egotism;posturing;self-love,,,六级词汇
conceit,noun,/kənˈsiːt/,妙语连珠；他总能想出些别出心裁的奇思妙想。,,amour propre;self-love;vanity;conceitedness,humility,trope | turn of phrase | device | trait | hypernyms:pride;trope;turn of phrase;device;trait | hyponyms:boastfulness;egotism;posturing;self-love,,,六级词汇
conceit,noun,/kənˈsiːt/,牵强附会的比喻,,amour propre;self-love;vanity;conceitedness,humility,trope | turn of phrase | device | trait | hypernyms:pride;trope;turn of phrase;device;trait | hyponyms:boastfulness;egotism;posturing;self-love,,,六级词汇
condolence,noun,/kənˈdəʊləns/,对他人悲痛表示同情；他们致以哀悼。,,commiseration,,hypernyms:acknowledgment,,,六级词汇
confederation,noun,/kənˌfɛdəˈreɪʃən/,结成联盟或邦联的行为,,alliance;confederacy;federation,,union | group action | hypernyms:coalition;union;group action | hyponyms:creek confederacy;hanseatic league;nation,,,六级词汇
confederation,noun,/kənˌfɛdəˈreɪʃən/,政治组织联盟,,alliance;confederacy;federation,,union | group action | hypernyms:coalition;union;group action | hyponyms:creek confederacy;hanseatic league;nation,,,六级词汇
configuration,noun,kənˌfɪɡəˈreɪʃən,各部分或元素的排列；结果取决于当时影响因素的配置。,,constellation;shape;form;contour;conformation,,spatial property | angularity;concavity;convexity;crookedness;curvature;dullness;lobularity;narrowing;roundness;sharpness;straightness;stratification;topography | hypernyms:design;spatial property | hyponyms:redundancy;topology;unitization;angularity;concavity;convexity;crookedness;curvature;dullness;lobularity;narrowing;roundness;sharpness;straightness;stratification;topography,,,六级词汇
connotation,noun,/ˌkɒnəˈteɪʃən/,暗示或暗示的想法,,intension,,meaning | hypernyms:meaning,,,六级词汇
conserve,noun,/kənˈsɜːv/,糖渍果脯,,preserve;conserves;preserves,,hypernyms:confiture | hyponyms:apple butter;chowchow;jam;jelly;lemon curd;marmalade,,,六级词汇
console,noun,/kənˈsəʊl/,拿破仑半身像置于壁托之上（尤指用于支撑壁挂装置的装饰性卷轴状支架）。,,console table;cabinet,,scientific instrument | bracket | housing | hypernyms:table;scientific instrument;bracket;housing,,,六级词汇
console,noun,/kənˈsəʊl/,一种科学仪器，由显示器和输入设备组成，操作员可用其监控和控制系统（尤其是计算机系统）。,,console table;cabinet,,scientific instrument | bracket | housing | hypernyms:table;scientific instrument;bracket;housing,,,六级词汇
constituent,noun,/kənˈstɪtʃuənt/,（语法）构成更大语法结构一部分的单词、短语或从句,,component;element;part;portion;component part;grammatical constituent;factor;ingredient,,voter | relation | syntagma | part | basis;butt;detail;item;language unit;member;remainder;subpart;substance;unit | ablative absolute;construction;immediate constituent;misconstruction;object;subject;term | be-all and end-all;plot element;point | hypernyms:part;voter;relation;syntagma | hyponyms:accessory;addition;audio;auto part;crystal;hardware;heating element;ingredient;input;landside;making;module;pixel;retrofit;spare part;spark gap;basis;butt;detail;item;language unit;member;remainder;subpart;substance;unit;ablative absolute;construction;immediate constituent;misconstruction;object;subject;term;be-all and end-all;plot element;point,,,六级词汇
constituent,noun,/kənˈstɪtʃuənt/,选民；由选举产生的官员在政府中代表的公民；需要选民持续支持以获连任。,,component;element;part;portion;component part;grammatical constituent;factor;ingredient,,voter | relation | syntagma | part | basis;butt;detail;item;language unit;member;remainder;subpart;substance;unit | ablative absolute;construction;immediate constituent;misconstruction;object;subject;term | be-all and end-all;plot element;point | hypernyms:part;voter;relation;syntagma | hyponyms:accessory;addition;audio;auto part;crystal;hardware;heating element;ingredient;input;landside;making;module;pixel;retrofit;spare part;spark gap;basis;butt;detail;item;language unit;member;remainder;subpart;substance;unit;ablative absolute;construction;immediate constituent;misconstruction;object;subject;term;be-all and end-all;plot element;point,,,六级词汇
consulate,noun,/ˈkɒnsjʊlət/,领事馆,,,,hypernyms:diplomatic building,,,六级词汇
contingent,noun,/kənˈtɪndʒənt/,代表较大群体的人员集会；每个国家都派遣了一支运动员队伍参加奥运会。,,detail,,military unit | hypernyms:gathering;military unit,,,六级词汇
contingent,noun,/kənˈtɪndʒənt/,临时军事单位；维和部队包含一支英国分遣队。,,detail,,military unit | hypernyms:gathering;military unit,,,六级词汇
converse,noun,/kənˈvɜːs/,通过换位法得到的命题,,,,hypernyms:proposition,,,六级词汇
convict,noun,/kənˈvɪkt/,服刑人员,,con;inmate;yard bird;yardbird,,wrongdoer | first offender;sex offender | hypernyms:prisoner;wrongdoer | hyponyms:lifer;trusty;first offender;sex offender,,,六级词汇
convict,noun,/kənˈvɪkt/,有犯罪前科的人,,con;inmate;yard bird;yardbird,,wrongdoer | first offender;sex offender | hypernyms:prisoner;wrongdoer | hyponyms:lifer;trusty;first offender;sex offender,,,六级词汇
convoy,noun,/ˈkɒnvɔɪ/,护送途中,,,,collection | escort | hypernyms:procession;collection;escort,,,六级词汇
convoy,noun,/ˈkɒnvɔɪ/,商船队与护航军舰,,,,collection | escort | hypernyms:procession;collection;escort,,,六级词汇
convoy,noun,/ˈkɒnvɔɪ/,车队行进,,,,collection | escort | hypernyms:procession;collection;escort,,,六级词汇
coral,noun,/ˈkɒrəl/,海洋群体珊瑚虫，以钙质骨骼为特征；形态多样，常形成珊瑚礁。,,red coral;precious coral,,opaque gem | roe | anthozoan | hypernyms:pink;opaque gem;roe;anthozoan | hyponyms:gorgonian;stony coral,,,六级词汇
coral,noun,/ˈkɒrəl/,一种平均为深粉色的可变颜色,,red coral;precious coral,,opaque gem | roe | anthozoan | hypernyms:pink;opaque gem;roe;anthozoan | hyponyms:gorgonian;stony coral,,,六级词汇
coral,noun,/ˈkɒrəl/,未受精龙虾卵；烹饪时变红；用作装饰或为酱汁增色。,,red coral;precious coral,,opaque gem | roe | anthozoan | hypernyms:pink;opaque gem;roe;anthozoan | hyponyms:gorgonian;stony coral,,,六级词汇
coral,noun,/ˈkɒrəl/,地中海珊瑚的坚硬石质骨架，呈精致红或粉色，用于珠宝制作。,,red coral;precious coral,,opaque gem | roe | anthozoan | hypernyms:pink;opaque gem;roe;anthozoan | hyponyms:gorgonian;stony coral,,,六级词汇
cork,noun,kɔːk,瓶塞（尤指酒瓶）,,phellem;Cork;bottle cork;bob;bobber;bobfloat,,bark | plug | float | hypernyms:bark;plant material;plug;float,,,六级词汇
cork,noun,kɔːk,栓皮栎的外层树皮；用于制作瓶塞等。,,phellem;Cork;bottle cork;bob;bobber;bobfloat,,bark | plug | float | hypernyms:bark;plant material;plug;float,,,六级词汇
corporal,noun,/ˈkɔːpərəl/,陆军、空军或海军陆战队中的士官,,,,hypernyms:noncommissioned officer,,,六级词汇
correlate,noun,ˈkɒrəleɪt,两个或多个相关或互补变量中的任意一个,,correlative,,hypernyms:variable,,,六级词汇
cosmetic,noun,/kɒzˈmɛtɪk/,美化身体的盥洗用品,,,,hypernyms:toiletry | hyponyms:depilatory;highlighter;makeup;nail polish;pencil,,,六级词汇
cosmopolitan,noun,/ˌkɒzməˈpɒlɪtən/,游历多国的世故之人,,cosmopolite,,hypernyms:sophisticate | hyponyms:globetrotter,,,六级词汇
counterfeit,noun,/ˈkaʊntəfɪt/,以原版呈现的复制品,,forgery,,hypernyms:imitation,,,六级词汇
courtesy,noun,/ˈkɜːtəsi/,礼貌或尊重或体贴的行为,,good manners,discourtesy,remark | manner | chivalry;civility;deference;graciousness;politeness;urbanity | hypernyms:politeness;remark;manner | hyponyms:attention;gallantry;chivalry;civility;deference;graciousness;politeness;urbanity,,,六级词汇
courtesy,noun,/ˈkɜːtəsi/,礼貌的态度,,good manners,discourtesy,remark | manner | chivalry;civility;deference;graciousness;politeness;urbanity | hypernyms:politeness;remark;manner | hyponyms:attention;gallantry;chivalry;civility;deference;graciousness;politeness;urbanity,,,六级词汇
courtesy,noun,/ˈkɜːtəsi/,礼貌或恭敬或体贴的言辞,,good manners,discourtesy,remark | manner | chivalry;civility;deference;graciousness;politeness;urbanity | hypernyms:politeness;remark;manner | hyponyms:attention;gallantry;chivalry;civility;deference;graciousness;politeness;urbanity,,,六级词汇
crackdown,noun,/ˈkrækdaʊn/,严厉镇压行动,,,,hypernyms:suppression,,,六级词汇
cradle,noun,/ˈkreɪdəl/,带护栏和摇杆的婴儿床,,birthplace;place of origin;provenance;provenience;rocker,,beginning | birth | trough | hypernyms:baby bed;beginning;birth;trough,,,六级词汇
cradle,noun,/ˈkreɪdəl/,人之初生；自幼便被教导不可哭泣。,,birthplace;place of origin;provenance;provenience;rocker,,beginning | birth | trough | hypernyms:baby bed;beginning;birth;trough,,,六级词汇
crate,noun,/kreɪt/,一个坚固的木箱（通常由木材制成）；用于运输,,crateful,,containerful | hypernyms:box;containerful | hyponyms:packing box;soapbox,,,六级词汇
crate,noun,/kreɪt/,一箱所含数量,,crateful,,containerful | hypernyms:box;containerful | hyponyms:packing box;soapbox,,,六级词汇
cricket,noun,/ˈkrɪkɪt/,一种使用球和球棒进行的游戏，由两支各11名球员的队伍参与；两队轮流尝试得分。,,,,field game | hypernyms:orthopterous insect;field game | hyponyms:european house cricket;field cricket;mole cricket;tree cricket,,,六级词汇
cricket,noun,/ˈkrɪkɪt/,跳跃昆虫；雄性通过摩擦前翅发出鸣叫声。,,,,field game | hypernyms:orthopterous insect;field game | hyponyms:european house cricket;field cricket;mole cricket;tree cricket,,,六级词汇
cripple,noun,/ˈkrɪpl/,因腿部或背部受伤或残疾而无法正常行走的人,,,,hypernyms:person | hyponyms:humpback,,,六级词汇
crouch,noun,/kraʊtʃ/,蜷缩身体,,,,hypernyms:bending,,,六级词汇
crow,noun,/krəʊ/,叫声刺耳的黑色鸟类,,Crow;Corvus;brag;bragging;crowing;vaporing;line-shooting;gasconade,,cry | sioux | boast | siouan | cock-a-doodle-doo | hypernyms:corvine bird;cry;sioux;boast;siouan | hyponyms:american crow;cock-a-doodle-doo,,,六级词汇
crow,noun,/krəʊ/,鸡鸣（或模仿鸡鸣声）,,Crow;Corvus;brag;bragging;crowing;vaporing;line-shooting;gasconade,,cry | sioux | boast | siouan | cock-a-doodle-doo | hypernyms:corvine bird;cry;sioux;boast;siouan | hyponyms:american crow;cock-a-doodle-doo,,,六级词汇
crunch,noun,krʌntʃ,嘎吱作响的声音；他听到碎石小路上传来脚步声的嘎吱声。,,crush;compaction,,situation | compression | hypernyms:noise;situation;compression | hyponyms:grind,,,六级词汇
crunch,noun,krʌntʃ,由于短缺（如时间、金钱或资源）而引发的紧急状况；年终财务紧张；资金紧缺。,,crush;compaction,,situation | compression | hypernyms:noise;situation;compression | hyponyms:grind,,,六级词汇
crust,noun,krʌst,粗鲁无礼，放肆妄为,,Earth's crust;incrustation;encrustation;gall;impertinence;impudence;insolence;cheekiness;freshness,,covering | discourtesy | tartar | chutzpa | hypernyms:layer;covering;discourtesy | hyponyms:horst;plate;tartar;chutzpa,,,六级词汇
crust,noun,krʌst,地球的外层,,Earth's crust;incrustation;encrustation;gall;impertinence;impudence;insolence;cheekiness;freshness,,covering | discourtesy | tartar | chutzpa | hypernyms:layer;covering;discourtesy | hyponyms:horst;plate;tartar;chutzpa,,,六级词汇
crust,noun,krʌst,坚硬的外壳,,Earth's crust;incrustation;encrustation;gall;impertinence;impudence;insolence;cheekiness;freshness,,covering | discourtesy | tartar | chutzpa | hypernyms:layer;covering;discourtesy | hyponyms:horst;plate;tartar;chutzpa,,,六级词汇
cub,noun,kʌb,某些食肉哺乳动物的幼崽，如熊、狼或狮子。,,greenhorn;rookie;lad;laddie;sonny;sonny boy;young carnivore,,male child | young mammal | hypernyms:novice;male child;young mammal | hyponyms:bear cub;lion cub;tiger cub,,,六级词汇
cub,noun,kʌb,小子,,greenhorn;rookie;lad;laddie;sonny;sonny boy;young carnivore,,male child | young mammal | hypernyms:novice;male child;young mammal | hyponyms:bear cub;lion cub;tiger cub,,,六级词汇
cub,noun,kʌb,一个笨拙且缺乏经验的年轻人,,greenhorn;rookie;lad;laddie;sonny;sonny boy;young carnivore,,male child | young mammal | hypernyms:novice;male child;young mammal | hyponyms:bear cub;lion cub;tiger cub,,,六级词汇
cuisine,noun,/kwɪˈziːn/,烹饪方法或所准备的食物,,culinary art,,hypernyms:cooking | hyponyms:dim sum;gastronomy;haute cuisine;nouvelle cuisine;rechauffe,,,六级词汇
cult,noun,/kʌlt/,一种宗教信仰与仪式的体系；致力于对圣母玛利亚的崇拜。,,fad;craze;furor;furore;rage;cultus;religious cult,,fashion | religion | cargo cult | cargo cult;macumba;obeah;rastafarianism;voodoo | hypernyms:religion;fashion | hyponyms:macumba;obeah;rastafari;rastafarian;voodoo;wicca;cargo cult;rastafarianism,,,六级词汇
cult,noun,/kʌlt/,一个通常被视为非正统、极端或虚假的宗教或教派；那是一个邪教组织。,,fad;craze;furor;furore;rage;cultus;religious cult,,fashion | religion | cargo cult | cargo cult;macumba;obeah;rastafarianism;voodoo | hypernyms:religion;fashion | hyponyms:macumba;obeah;rastafari;rastafarian;voodoo;wicca;cargo cult;rastafarianism,,,六级词汇
cult,noun,/kʌlt/,追随非正统、极端或伪宗教或教派的信徒，常生活在主流社会之外，受魅力型领袖的指引。,,fad;craze;furor;furore;rage;cultus;religious cult,,fashion | religion | cargo cult | cargo cult;macumba;obeah;rastafarianism;voodoo | hypernyms:religion;fashion | hyponyms:macumba;obeah;rastafari;rastafarian;voodoo;wicca;cargo cult;rastafarianism,,,六级词汇
cult,noun,/kʌlt/,特定信仰与实践体系的追随者,,fad;craze;furor;furore;rage;cultus;religious cult,,fashion | religion | cargo cult | cargo cult;macumba;obeah;rastafarianism;voodoo | hypernyms:religion;fashion | hyponyms:macumba;obeah;rastafari;rastafarian;voodoo;wicca;cargo cult;rastafarianism,,,六级词汇
cunning,noun,/ˈkʌnɪŋ/,狡黠（尤指欺骗中的）,,craft;craftiness;foxiness;guile;slyness;wiliness,,artfulness | hypernyms:shrewdness;artfulness,,,六级词汇
curfew,noun,/kɜːfjuː/,在规定时间后禁止特定活动（如外出上街）的命令,,,,signal | decree | hypernyms:deadline;signal;decree,,,六级词汇
curfew,noun,/kɜːfjuː/,宵禁开始信号（通常为钟声）,,,,signal | decree | hypernyms:deadline;signal;decree,,,六级词汇
curfew,noun,/kɜːfjuː/,宵禁信号响起之时,,,,signal | decree | hypernyms:deadline;signal;decree,,,六级词汇
custody,noun,/ˈkʌstədi/,警方控制；嫌疑人已被拘留。,,detention;detainment;hold;hands,,imprisonment | guardianship | hypernyms:confinement;imprisonment;guardianship,,,六级词汇
cylinder,noun,/ˈsɪlɪndə/,氧气或压缩空气的圆柱形容器,,piston chamber,,round shape | chamber | container | barrel;brake drum;pipe;shank;shank;shank;stalactite;stalagmite | brake cylinder | hypernyms:solid;round shape;chamber;container | hyponyms:roll;roller;barrel;brake drum;pipe;shank;stalactite;stalagmite;brake cylinder,,,六级词汇
cylinder,noun,/ˈsɪlɪndə/,活塞在其中移动的腔室,,piston chamber,,round shape | chamber | container | barrel;brake drum;pipe;shank;shank;shank;stalactite;stalagmite | brake cylinder | hypernyms:solid;round shape;chamber;container | hyponyms:roll;roller;barrel;brake drum;pipe;shank;stalactite;stalagmite;brake cylinder,,,六级词汇
cylinder,noun,/ˈsɪlɪndə/,由圆柱面和两个平行平面（底面）所围成的立体,,piston chamber,,round shape | chamber | container | barrel;brake drum;pipe;shank;shank;shank;stalactite;stalagmite | brake cylinder | hypernyms:solid;round shape;chamber;container | hyponyms:roll;roller;barrel;brake drum;pipe;shank;stalactite;stalagmite;brake cylinder,,,六级词汇
cylinder,noun,/ˈsɪlɪndə/,由一条平行线绕固定直线旋转生成的曲面,,piston chamber,,round shape | chamber | container | barrel;brake drum;pipe;shank;shank;shank;stalactite;stalagmite | brake cylinder | hypernyms:solid;round shape;chamber;container | hyponyms:roll;roller;barrel;brake drum;pipe;shank;stalactite;stalagmite;brake cylinder,,,六级词汇
dart,noun,dɑːt,裁缝中的锥形褶,,flit,,tuck | motion | hypernyms:projectile;tuck;motion | hyponyms:banderilla,,,六级词汇
dart,noun,dɑːt,小而细长的尖头投射物。,,flit,,tuck | motion | hypernyms:projectile;tuck;motion | hyponyms:banderilla,,,六级词汇
dazzle,noun,/ˈdæzəl/,亮度足以致人暂时性部分失明,,,,hypernyms:brightness,,,六级词汇
deadlock,noun,/dɛdlɒk/,谈判陷入僵局，无法取得任何进展或突破。,,dead end;impasse;stalemate;standstill,,hypernyms:situation,,,六级词汇
debris,noun,/dɛˈbriː/,残骸,,dust;junk;rubble;detritus,,hypernyms:rubbish | hyponyms:slack,,,六级词汇
debut,noun,/ˈdeɪbjuː/,初入社交界的名媛亮相,,introduction;first appearance;launching;unveiling;entry,,presentation | hypernyms:beginning;presentation | hyponyms:induction;naturalization;product introduction;ushering in,,,六级词汇
decimal,noun,/ˈdɛsɪməl/,十进制数,,decimal fraction,,number | hypernyms:proper fraction;number | hyponyms:circulating decimal,,,六级词汇
decree,noun,/dɪˈkriː/,一项具有法律约束力的命令或决定，已记录在案（如同由法院或法官发布）；新墨西哥州的一位朋友表示，该命令在当地并未引起任何麻烦。,,edict;fiat;order;rescript,,hypernyms:act | hyponyms:bull;consent decree;curfew;decree nisi;imperial decree;legal separation;programma;prohibition;stay,,,六级词汇
default,noun,/dɪˈfɔːlt/,因未到场而判负；他因缺席而输掉比赛。,,nonpayment;nonremittal;default option,payment,failure | financial loss | option | hypernyms:absence;loss;failure;financial loss;option | hyponyms:delinquency,,,六级词汇
default,noun,/dɪˈfɔːlt/,未能履行财务义务,,nonpayment;nonremittal;default option,payment,failure | financial loss | option | hypernyms:absence;loss;failure;financial loss;option | hyponyms:delinquency,,,六级词汇
delicacy,noun,/ˈdɛlɪkəsi/,巧妙应对,,daintiness;fineness;dainty;goody;kickshaw;treat;discretion;slightness;fragility;diplomacy;discreetness;finesse;airiness,,nutriment | taste | smallness | weakness | tact | liveliness | hypernyms:elegance;nutriment;taste;smallness;weakness;tact;liveliness | hyponyms:ambrosia;choice morsel;gelatin;marrow;savory;sweet,,,六级词汇
delicacy,noun,/ˈdɛlɪkəsi/,身材矮小,,daintiness;fineness;dainty;goody;kickshaw;treat;discretion;slightness;fragility;diplomacy;discreetness;finesse;airiness,,nutriment | taste | smallness | weakness | tact | liveliness | hypernyms:elegance;nutriment;taste;smallness;weakness;tact;liveliness | hyponyms:ambrosia;choice morsel;gelatin;marrow;savory;sweet,,,六级词汇
delicacy,noun,/ˈdɛlɪkəsi/,品味高雅；处事圆滑,,daintiness;fineness;dainty;goody;kickshaw;treat;discretion;slightness;fragility;diplomacy;discreetness;finesse;airiness,,nutriment | taste | smallness | weakness | tact | liveliness | hypernyms:elegance;nutriment;taste;smallness;weakness;tact;liveliness | hyponyms:ambrosia;choice morsel;gelatin;marrow;savory;sweet,,,六级词汇
demographic,noun,/dɛməˈɡɹæfɪk/,人口统计特征,,,,hypernyms:statistic,,,六级词汇
destiny,noun,/ˈdɛstɪni/,未来必然发生的事件（或一系列事件）,,fate;fortune;luck;lot;circumstances;portion,,causal agent | condition | failure;good fortune;misfortune;providence | hypernyms:happening;causal agent;condition | hyponyms:doom;inevitable;karma;kismet;predestination;failure;good fortune;misfortune;providence,,,六级词汇
destiny,noun,/ˈdɛstɪni/,命运，常被拟人化为女性，是决定事件进程的终极力量；在命运面前，我们无能为力。,,fate;fortune;luck;lot;circumstances;portion,,causal agent | condition | failure;good fortune;misfortune;providence | hypernyms:happening;causal agent;condition | hyponyms:doom;inevitable;karma;kismet;predestination;failure;good fortune;misfortune;providence,,,六级词汇
detergent,noun,/dɪˈtɜːdʒənt/,一种不同于肥皂但也能乳化油脂并悬浮污垢的清洁剂。,,,,cleansing agent | dishwasher detergent;laundry detergent;liquid detergent | hypernyms:wetting agent;cleansing agent | hyponyms:anionic detergent;cationic detergent;sodium lauryl sulphate;dishwasher detergent;laundry detergent;liquid detergent,,,六级词汇
detergent,noun,/dɪˈtɜːdʒənt/,一种广泛应用于工业和洗涤的表面活性化学品。,,,,cleansing agent | dishwasher detergent;laundry detergent;liquid detergent | hypernyms:wetting agent;cleansing agent | hyponyms:anionic detergent;cationic detergent;sodium lauryl sulphate;dishwasher detergent;laundry detergent;liquid detergent,,,六级词汇
detriment,noun,/ˈdɛtrɪmənt/,损坏或损失,,hurt,,hypernyms:damage | hyponyms:expense,,,六级词汇
diesel,noun,/ˈdiːzəl/,燃烧重油的内燃机,,Diesel;Rudolf Diesel;Rudolf Christian Karl Diesel;diesel engine;diesel motor,,hypernyms:internal-combustion engine,,,六级词汇
dinosaur,noun,/ˈdaɪnəsɔː/,中生代众多已灭绝的陆生爬行动物,,,,hypernyms:archosaur | hyponyms:argentinosaur;diplodocus;ground-shaker;iguanodon;ornithischian;saurischian;titanosaur,,,六级词汇
directory,noun,/daɪˈrɛktəri/,按字母顺序排列的姓名地址录,,,,list | subdirectory | hypernyms:reference book;list | hyponyms:blue book;phonebook;subdirectory,,,六级词汇
directory,noun,/daɪˈrɛktəri/,（计算机科学）存储在内存（通常指硬盘）中的文件列表,,,,list | subdirectory | hypernyms:reference book;list | hyponyms:blue book;phonebook;subdirectory,,,六级词汇
discord,noun,/ˈdɪskɔːd/,意见不合引发的冲突,,strife;dissension;discordance,,disagreement | dissonance | strife | hypernyms:disorder;disagreement;dissonance;strife | hyponyms:confrontation;division,,,六级词汇
discord,noun,/ˈdɪskɔːd/,预期合作者之间的分歧,,strife;dissension;discordance,,disagreement | dissonance | strife | hypernyms:disorder;disagreement;dissonance;strife | hyponyms:confrontation;division,,,六级词汇
discord,noun,/ˈdɪskɔːd/,不一致或不协调,,strife;dissension;discordance,,disagreement | dissonance | strife | hypernyms:disorder;disagreement;dissonance;strife | hyponyms:confrontation;division,,,六级词汇
discourse,noun,/ˈdɪskɔːs/,言语或书面表达中的扩展性表达,,sermon;preaching;discussion;treatment,,address | communication | baccalaureate;evangelism;homily;kerygma | consideration;detail;dilation;expansion;talk | hypernyms:language unit;address;communication | hyponyms:context;baccalaureate;evangelism;homily;kerygma;consideration;detail;dilation;expansion;talk,,,六级词汇
discrepancy,noun,/dɪˈskrɛpənsi/,事实、主张或意见之间的差异；意见分歧日益扩大。,,disagreement;divergence;variance;variant,,deviation | hypernyms:difference;deviation | hyponyms:allowance,,,六级词汇
discrepancy,noun,/dɪˈskrɛpənsi/,出乎意料的事件,,disagreement;divergence;variance;variant,,deviation | hypernyms:difference;deviation | hyponyms:allowance,,,六级词汇
disposition,noun,/ˌdɪspəˈzɪʃən/,他通常心情愉快；他性格开朗。,,temperament;disposal;inclination;tendency,,act | attitude | property | abandonment;appointment;comb-out;giving;lending;mine disposal;sewage disposal | bent;call;denominationalism;devices;direction;disfavor;drift;favor;favoritism;impartiality;literalism;partiality;perseveration;predisposition;proclivity;sympathy | aptness;mordacity;predisposition;proneness;separatism;tendency | hypernyms:nature;act;attitude;property | hyponyms:agreeableness;aloneness;animalism;blood;bloodiness;composure;disagreeableness;discomposure;epicurism;esprit de corps;friendliness;good nature;gourmandism;heart;ill nature;moodiness;nervousness;optimism;perfectionism;permissiveness;pessimism;unfriendliness;unpermissiveness;unsociability;unwillingness;willingness;abandonment;appointment;comb-out;giving;lending;mine disposal;sewage disposal;bent;call;denominationalism;devices;direction;disfavor;drift;favor;favoritism;impartiality;literalism;partiality;perseveration;predisposition;proclivity;sympathy;aptness;mordacity;proneness;separatism;tendency,,,六级词汇
